"",Symbol,Date,Year,Low,High,Open,Close,Volume
591,SRTRANSFIN,2021-11-08,2021,1621.05,1670.00,1625.20,1664.70,1670349
592,SRTRANSFIN,2021-11-09,2021,1581.05,1696.40,1676.70,1616.05,2525791
593,SRTRANSFIN,2021-11-10,2021,1599.50,1643.00,1616.05,1631.20,1285584
594,SRTRANSFIN,2021-11-11,2021,1601.20,1643.00,1631.20,1636.30,1013005
595,SRTRANSFIN,2021-11-12,2021,1615.95,1649.00,1646.90,1622.40,1102283
596,SRTRANSFIN,2021-11-15,2021,1577.65,1626.00,1620.00,1616.60,704461
597,SRTRANSFIN,2021-11-15,2021,1577.65,1626.00,1620.00,1616.60,704461
598,SRTRANSFIN,2021-11-16,2021,1608.10,1663.00,1617.80,1638.95,1109980
599,SRTRANSFIN,2021-11-17,2021,1610.55,1649.90,1628.00,1630.85,756131
600,SRTRANSFIN,2021-11-18,2021,1585.20,1644.40,1632.10,1601.40,965151
601,SRTRANSFIN,2021-11-22,2021,1548.15,1609.80,1609.40,1561.65,1055933
602,SRTRANSFIN,2021-11-23,2021,1543.75,1603.15,1546.00,1587.95,662248
603,SRTRANSFIN,2021-11-24,2021,1570.00,1600.95,1588.80,1586.90,462153
604,SRTRANSFIN,2021-11-25,2021,1530.05,1590.00,1590.00,1570.95,858020
605,SRTRANSFIN,2021-11-26,2021,1434.45,1557.00,1542.00,1446.70,1341147
606,SRTRANSFIN,2021-11-29,2021,1388.55,1445.00,1433.55,1403.25,978778
607,SRTRANSFIN,2021-11-30,2021,1395.40,1446.45,1403.00,1406.70,1768166
608,SRTRANSFIN,2021-12-01,2021,1399.75,1448.95,1430.00,1443.75,1107972
609,SRTRANSFIN,2021-12-02,2021,1426.20,1459.95,1440.00,1448.95,774184
610,SRTRANSFIN,2021-12-03,2021,1438.85,1478.90,1446.70,1447.15,772727
611,SRTRANSFIN,2021-12-06,2021,1441.90,1475.00,1450.00,1450.15,577275
612,SRTRANSFIN,2021-12-07,2021,1441.80,1476.30,1463.00,1463.55,760542
613,SRTRANSFIN,2021-12-08,2021,1464.10,1496.85,1470.00,1492.35,862895
614,SRTRANSFIN,2021-12-09,2021,1486.80,1509.50,1500.00,1494.05,429001
615,SRTRANSFIN,2021-12-10,2021,1475.55,1517.05,1500.00,1504.35,549077
616,SRTRANSFIN,2021-12-13,2021,1409.10,1531.75,1520.00,1475.65,1833852
617,SRTRANSFIN,2021-12-14,2021,1370.05,1463.65,1461.00,1384.10,1815916
618,SRTRANSFIN,2021-12-15,2021,1350.00,1390.65,1386.00,1357.85,854335
619,SRTRANSFIN,2021-12-16,2021,1326.00,1382.75,1371.40,1331.80,1239863
620,SRTRANSFIN,2021-12-17,2021,1265.75,1333.80,1325.00,1273.70,1062109
621,SRTRANSFIN,2021-12-20,2021,1158.80,1263.40,1250.00,1200.60,1780656
622,SRTRANSFIN,2021-12-21,2021,1166.05,1225.00,1225.00,1173.75,1225029
623,SRTRANSFIN,2021-12-22,2021,1157.20,1192.00,1182.05,1172.45,818453
